year,month,ASST_O,BURG_O,DRUG_O,HOMD_O,ROBB_O,THEF_O,WCCR_O
2014,6,659,1015,33,1,379,2852,251
2014,7,703,1049,29,6,394,2964,267
2014,8,588,1008,32,8,282,2802,256
2014,9,639,918,29,9,308,2733,241
2014,10,650,1051,43,5,353,2983,245
2014,11,536,1054,29,9,346,2740,228
2014,12,514,1030,24,11,407,3047,215
2015,1,514,964,23,8,387,2876,212
2015,2,430,607,26,3,255,2217,157
2015,3,575,809,35,4,277,2635,207
2015,4,619,772,41,5,317,2629,237
2015,5,631,965,35,10,382,2725,225
2015,6,669,923,33,11,416,2739,229
2015,7,666,1009,35,10,346,2843,220
2015,8,704,974,36,4,384,2739,234
2015,9,653,1003,35,5,279,2453,223
2015,10,673,1013,25,16,322,2882,220
2015,11,578,995,32,4,376,2658,223
2015,12,562,1092,24,4,423,2848,244
2016,1,566,921,42,10,450,2793,262
2016,2,549,826,57,5,313,2347,209
2016,3,626,862,57,18,275,2477,208
2016,4,647,909,42,7,408,2632,210
2016,5,720,996,60,13,396,2766,220
2016,6,706,909,47,13,344,2893,195
2016,7,703,845,49,12,375,2779,176
2016,8,672,887,61,12,451,2807,177
2016,9,670,913,43,15,391,2721,195
2016,10,759,914,48,15,415,2825,188
2016,11,631,978,46,6,380,2804,175
2016,12,594,1051,40,9,399,2890,193
2017,1,796,924,49,10,403,2750,202
2017,2,760,798,39,7,338,2334,209
2017,3,756,767,64,12,300,2439,211
2017,4,882,840,41,8,300,2494,192
2017,5,907,841,45,11,337,2713,225
2017,6,879,839,26,9,347,2655,212
2017,7,883,885,25,11,360,2762,178
2017,8,931,920,37,10,414,2891,218
2017,9,804,778,22,11,368,2698,198
2017,10,809,880,24,12,394,2627,195
2017,11,738,789,42,16,397,2650,194
2017,12,731,751,22,8,311,2724,211
2018,1,684,799,150,4,320,2680,226
2018,2,558,642,146,3,287,2266,194
2018,3,788,751,213,8,275,2533,207
2018,4,747,821,205,10,343,2667,196
2018,5,847,905,220,12,381,2946,207
2018,6,852,872,236,5,343,2886,243
2018,7,853,779,293,7,437,3042,245
2018,8,825,777,266,11,431,3057,261
2018,9,829,734,260,8,460,3106,209
2018,10,827,657,224,6,445,3156,220
2018,11,670,741,214,5,432,3062,216
2018,12,820,716,216,3,430,3332,251
2019,1,725,622,271,4,435,3168,255
2019,2,729,662,220,8,392,2701,190
2019,3,813,718,249,6,442,3088,212
2019,4,807,814,196,2,430,2869,211
2019,5,919,737,247,13,462,3093,239
2019,6,1000,776,319,10,477,3195,223
2019,7,966,755,316,8,537,3400,218
2019,8,1070,742,214,8,504,3290,235
2019,9,989,709,214,9,480,3166,220
2019,10,837,760,190,3,458,3176,219
2019,11,830,734,209,10,403,3147,198
2019,12,835,880,208,8,465,3425,195
2020,1,779,891,256,10,442,3265,232
2020,2,744,696,318,2,368,2949,187
2020,3,828,737,361,5,314,2761,215
2020,4,849,599,412,7,239,2739,154
2020,5,999,622,348,5,244,2961,170
2020,6,1063,654,152,13,296,3153,152
2020,7,1122,647,335,12,331,3234,176
2020,8,1056,653,685,10,280,3292,172
2020,9,1008,633,674,10,286,3328,156
2020,10,1022,710,673,14,345,3500,157
2020,11,961,700,642,15,340,3227,171
2020,12,887,697,588,10,401,3435,169
