year,month,ASST_T,BURG_T,DRUG_T,HOMD_T,ROBB_T,THEF_T,WCCR_T
2014,6,271,328,12,0,179,875,72
2014,7,240,302,13,5,181,851,57
2014,8,182,275,12,1,124,859,72
2014,9,222,249,14,4,141,858,59
2014,10,227,274,13,3,167,846,58
2014,11,211,358,8,5,163,843,54
2014,12,186,304,11,4,154,900,60
2015,1,179,293,10,0,142,891,47
2015,2,140,226,9,1,105,648,42
2015,3,171,289,7,0,105,808,73
2015,4,205,227,14,0,118,665,68
2015,5,179,268,12,3,147,700,47
2015,6,198,297,14,4,156,732,63
2015,7,223,278,11,8,132,694,68
2015,8,242,287,11,2,150,689,58
2015,9,208,278,15,1,93,519,52
2015,10,225,308,11,2,113,680,47
2015,11,193,316,10,2,147,622,53
2015,12,186,323,4,1,175,724,64
2016,1,191,285,15,5,156,704,58
2016,2,154,214,21,1,98,605,48
2016,3,213,235,17,7,110,601,41
2016,4,211,260,12,3,162,688,58
2016,5,224,264,28,3,123,720,59
2016,6,208,223,19,8,136,758,53
2016,7,190,229,16,4,142,726,36
2016,8,221,243,23,3,184,741,53
2016,9,196,260,7,1,123,691,58
2016,10,242,237,13,3,151,752,55
2016,11,217,297,12,3,162,788,51
2016,12,195,294,12,0,133,784,59
2017,1,355,313,27,9,199,1018,88
2017,2,362,302,22,3,174,871,77
2017,3,319,265,33,3,162,858,95
2017,4,381,312,20,1,145,912,72
2017,5,392,285,21,6,145,955,90
2017,6,393,275,9,7,156,996,77
2017,7,350,322,10,3,160,1013,72
2017,8,430,337,14,4,215,1053,96
2017,9,361,278,9,5,197,963,75
2017,10,348,310,12,9,196,909,74
2017,11,337,279,13,9,190,900,72
2017,12,304,262,7,6,163,907,91
2018,1,287,287,52,1,146,888,76
2018,2,218,204,61,0,138,708,66
2018,3,332,252,78,2,129,754,72
2018,4,305,289,79,7,147,820,66
2018,5,363,313,105,5,189,825,89
2018,6,347,277,103,4,171,805,87
2018,7,362,274,123,5,220,905,95
2018,8,327,257,120,6,222,922,92
2018,9,339,264,98,4,210,909,90
2018,10,349,247,73,2,198,921,86
2018,11,276,252,95,3,155,860,86
2018,12,323,260,87,1,159,888,92
2019,1,304,210,111,4,196,1076,82
2019,2,266,236,89,3,181,916,66
2019,3,339,277,103,4,197,1073,66
2019,4,329,278,88,0,168,953,73
2019,5,345,227,98,5,219,1055,80
2019,6,386,272,138,5,195,1064,86
2019,7,396,253,157,4,238,1135,88
2019,8,411,239,89,3,207,1113,87
2019,9,419,252,86,5,253,1093,83
2019,10,304,257,73,1,222,1111,84
2019,11,317,265,105,1,160,1192,82
2019,12,318,299,82,4,198,1175,79
2020,1,271,324,108,2,218,1133,88
2020,2,275,231,168,0,145,1014,59
2020,3,343,281,133,5,140,979,85
2020,4,354,207,152,4,94,964,55
2020,5,390,219,163,1,117,1028,59
2020,6,445,247,68,2,109,1136,58
2020,7,464,239,136,3,134,1157,55
2020,8,419,233,253,8,122,1080,56
2020,9,419,276,215,4,121,1117,54
2020,10,417,273,274,6,134,1133,56
2020,11,428,273,253,7,176,1177,63
2020,12,346,247,217,5,190,1159,58
