year,Week,ASST_NT,BURG_NT,DRUG_NT,HOMD_NT,ROBB_NT,THEF_NT,WCCR_NT
2014,23,93,150,6,0,49,447,32
2014,24,94,166,3,0,40,451,42
2014,25,107,152,6,0,46,475,44
2014,26,85,201,5,0,56,479,45
2014,27,127,166,3,0,47,419,59
2014,28,118,159,0,0,43,491,43
2014,29,96,163,8,1,52,521,43
2014,30,91,169,4,0,55,482,42
2014,31,83,186,8,4,36,494,52
2014,32,84,133,5,1,32,446,33
2014,33,107,169,2,1,41,399,45
2014,34,96,178,3,1,35,462,32
2014,35,87,170,6,1,40,399,42
2014,36,112,154,2,0,42,447,35
2014,37,81,150,1,1,40,437,40
2014,38,102,155,6,1,31,406,55
2014,39,89,162,3,2,37,470,44
2014,40,98,172,7,0,47,517,43
2014,41,86,187,5,1,34,471,43
2014,42,114,165,6,0,51,475,49
2014,43,93,162,10,1,45,483,33
2014,44,80,183,2,0,30,446,43
2014,45,82,142,8,1,48,453,43
2014,46,57,160,6,0,41,448,40
2014,47,84,174,2,1,44,434,44
2014,48,83,177,5,2,37,428,34
2014,49,78,172,2,2,45,497,42
2014,50,65,185,4,5,69,485,32
2014,51,68,156,3,0,58,524,42
2014,52,88,164,4,0,73,520,28
2015,1,77,138,2,6,65,443,52
2015,2,72,129,3,1,51,419,25
2015,3,80,151,4,1,63,460,36
2015,4,75,188,3,0,48,469,31
2015,5,69,116,6,0,39,435,42
2015,6,87,115,5,1,39,430,42
2015,7,82,95,4,1,38,391,27
2015,8,57,78,2,0,44,356,19
2015,9,72,106,4,0,26,384,28
2015,10,82,88,5,0,47,409,28
2015,11,85,112,5,1,47,417,29
2015,12,82,126,8,2,34,411,31
2015,13,129,149,9,1,34,414,30
2015,14,100,126,4,1,37,476,38
2015,15,101,107,9,2,43,456,40
2015,16,96,112,5,1,44,441,36
2015,17,86,162,7,1,55,468,39
2015,18,96,167,5,3,41,424,56
2015,19,107,143,3,0,63,433,34
2015,20,109,154,7,1,58,470,33
2015,21,91,156,5,0,58,484,45
2015,22,111,147,5,5,55,488,39
2015,23,106,132,3,1,51,420,39
2015,24,121,147,7,4,63,432,34
2015,25,100,161,6,0,61,468,41
2015,26,108,171,1,0,66,557,39
2015,27,104,157,8,1,55,479,39
2015,28,113,166,1,0,52,497,28
2015,29,85,150,5,0,38,466,35
2015,30,98,169,9,0,51,501,32
2015,31,97,158,5,1,47,458,44
2015,32,108,179,5,2,52,471,41
2015,33,105,131,7,0,48,461,42
2015,34,108,174,7,0,58,473,42
2015,35,106,144,3,0,57,468,36
2015,36,98,183,6,1,55,420,26
2015,37,97,173,2,1,37,442,44
2015,38,93,169,5,1,45,471,46
2015,39,123,154,6,1,30,448,38
