year,Week,ASST_O,BURG_O,DRUG_O,HOMD_O,ROBB_O,THEF_O,WCCR_O
2014,23,160,223,10,0,96,630,49
2014,24,148,253,4,0,75,684,54
2014,25,179,226,10,0,94,708,53
2014,26,153,280,8,0,84,658,74
2014,27,184,237,7,0,100,620,75
2014,28,163,226,1,1,86,677,52
2014,29,153,226,10,1,89,734,58
2014,30,151,243,9,4,90,661,53
2014,31,123,236,11,4,79,683,71
2014,32,138,190,6,1,63,640,47
2014,33,144,225,5,1,62,610,64
2014,34,137,250,7,1,58,653,47
2014,35,129,250,8,3,66,590,55
2014,36,175,211,5,1,76,631,45
2014,37,114,202,6,1,71,616,59
2014,38,139,213,10,1,60,636,70
2014,39,159,220,4,4,74,667,55
2014,40,152,226,7,0,86,680,55
2014,41,141,248,9,1,69,666,53
2014,42,163,224,9,2,86,693,65
2014,43,145,231,12,1,94,691,51
2014,44,132,268,6,3,55,612,54
2014,45,135,241,11,2,88,648,60
2014,46,93,220,8,0,74,631,49
2014,47,133,266,5,2,81,639,56
2014,48,131,250,6,4,83,660,45
2014,49,117,236,5,2,72,687,55
2014,50,119,257,7,5,102,704,49
2014,51,108,238,5,2,93,743,58
2014,52,131,230,6,1,123,716,38
2015,1,124,206,2,6,94,634,66
2015,2,104,192,3,1,78,627,35
2015,3,128,207,11,1,98,647,47
2015,4,111,265,5,0,87,685,39
2015,5,107,171,7,0,68,605,52
2015,6,132,169,6,1,69,598,50
2015,7,116,156,8,2,58,552,38
2015,8,84,146,5,0,73,521,28
2015,9,99,152,7,0,41,567,50
2015,10,112,161,8,0,72,613,43
2015,11,123,172,7,1,75,588,40
2015,12,129,202,8,2,61,584,56
2015,13,175,208,11,1,54,582,39
2015,14,159,178,9,1,67,664,48
2015,15,150,154,13,2,78,599,55
2015,16,140,155,7,1,68,586,53
2015,17,131,234,8,1,81,624,61
2015,18,145,226,6,3,71,593,65
2015,19,146,200,4,0,102,598,47
2015,20,140,215,8,2,90,622,44
2015,21,132,216,10,0,86,637,57
2015,22,153,213,9,7,91,612,49
2015,23,158,198,9,3,85,573,60
2015,24,166,216,10,5,104,623,47
2015,25,143,239,7,1,99,660,57
2015,26,151,234,5,0,99,726,53
2015,27,152,222,11,2,83,621,53
2015,28,173,234,4,3,78,675,41
2015,29,128,213,9,3,70,628,49
2015,30,150,224,9,1,79,642,48
2015,31,150,219,9,1,83,618,56
2015,32,169,244,7,2,83,635,59
2015,33,157,187,11,1,90,606,52
2015,34,158,240,8,1,94,640,55
2015,35,155,223,4,0,80,606,50
2015,36,157,250,9,2,73,551,37
2015,37,144,244,6,1,57,565,60
2015,38,141,228,8,1,72,581,57
2015,39,169,213,11,1,52,568,48
2015,40,147,218,4,2,76,705,56
2015,41,150,196,4,8,67,628,55
2015,42,183,249,6,3,84,612,47
2015,43,133,239,9,1,72,664,46
2015,44,161,228,11,3,89,631,52
2015,45,129,228,6,1,88,610,44
2015,46,109,247,4,1,77,594,58
2015,47,151,265,8,0,91,688,57
2015,48,111,206,8,1,84,590,59
2015,49,127,269,3,1,87,632,63
2015,50,130,276,4,1,99,693,52
2015,51,129,248,9,2,102,661,54
2015,52,153,231,5,0,105,680,44
2016,1,142,194,14,1,103,659,81
2016,2,129,214,13,4,120,677,48
2016,3,135,209,6,2,96,589,56
2016,4,99,208,5,2,90,631,50
2016,5,140,211,9,2,105,595,76
2016,6,129,184,8,0,70,565,35
2016,7,141,168,16,2,71,560,41
2016,8,111,210,19,1,58,559,55
2016,9,145,247,19,4,70,548,58
2016,10,133,188,11,4,59,562,42
2016,11,134,185,9,3,69,607,51
2016,12,143,187,13,7,53,549,41
2016,13,160,204,14,1,74,516,45
2016,14,156,179,6,1,83,570,63
2016,15,169,219,13,3,86,651,46
2016,16,123,199,15,1,115,642,46
2016,17,164,243,7,2,100,606,45
2016,18,165,239,13,0,98,572,44
2016,19,138,205,16,5,92,591,52
2016,20,160,215,14,3,87,649,46
2016,21,160,245,12,2,84,662,63
2016,22,167,234,10,4,86,668,38
2016,23,167,219,14,1,83,665,47
2016,24,160,209,16,3,70,653,47
2016,25,159,231,4,3,81,693,52
2016,26,185,177,9,5,83,669,36
2016,27,164,212,17,2,80,579,38
2016,28,168,191,13,2,56,602,43
2016,29,154,179,9,5,97,641,31
2016,30,150,189,8,2,106,637,46
2016,31,170,165,13,4,103,698,49
2016,32,140,176,19,1,107,691,39
2016,33,138,189,9,1,117,603,40
2016,34,135,232,9,5,77,616,33
2016,35,177,232,14,2,96,613,36
2016,36,145,219,14,1,94,672,54
2016,37,152,217,12,5,86,624,60
2016,38,176,219,7,2,93,639,40
2016,39,160,199,8,7,95,613,33
2016,40,184,196,10,1,83,645,43
2016,41,130,199,15,3,94,634,38
2016,42,171,232,11,5,77,680,46
2016,43,191,206,10,3,96,622,41
2016,44,187,195,10,3,110,621,56
2016,45,133,221,9,1,88,682,36
2016,46,123,261,9,1,72,623,42
2016,47,137,224,16,2,95,625,36
2016,48,171,235,6,2,107,669,38
2016,49,138,227,10,1,85,653,47
2016,50,114,210,10,3,96,653,43
2016,51,113,241,12,2,77,654,43
2016,52,208,322,7,3,124,837,53
2017,1,176,203,9,4,101,627,72
2017,2,163,209,15,0,88,634,34
2017,3,174,221,9,1,86,659,49
2017,4,196,205,10,3,77,578,35
2017,5,208,220,8,3,110,644,51
2017,6,197,254,12,1,93,606,48
2017,7,178,189,13,2,88,557,54
2017,8,178,165,6,2,71,509,50
2017,9,191,163,14,2,67,590,61
2017,10,164,181,13,5,56,544,48
2017,11,157,156,13,4,68,543,45
2017,12,183,182,10,0,75,548,39
2017,13,168,166,21,2,73,575,41
2017,14,205,185,13,1,70,556,46
2017,15,211,185,8,3,67,605,50
2017,16,224,208,11,1,80,556,42
2017,17,198,204,7,3,61,600,42
2017,18,189,208,9,4,83,593,64
2017,19,207,198,13,2,65,643,40
2017,20,210,192,9,2,83,565,54
2017,21,199,186,6,1,71,637,51
2017,22,215,195,12,2,77,644,56
2017,23,200,169,5,2,81,573,47
2017,24,202,203,6,4,95,652,40
2017,25,212,183,7,2,82,620,46
2017,26,203,225,5,1,69,613,56
2017,27,196,197,8,2,61,626,44
2017,28,211,193,10,1,78,591,49
2017,29,202,203,6,4,101,624,37
2017,30,183,187,1,4,94,640,34
2017,31,211,225,7,4,60,645,57
2017,32,205,202,10,3,98,645,34
2017,33,207,216,6,1,100,644,50
2017,34,202,189,9,0,101,681,51
2017,35,224,207,6,2,106,680,47
2017,36,188,170,4,3,87,615,55
2017,37,182,179,8,5,84,629,43
2017,38,205,201,3,1,72,633,45
2017,39,174,168,6,2,88,612,38
2017,40,173,209,10,1,116,622,58
2017,41,206,200,3,3,95,620,42
2017,42,180,217,5,2,81,580,38
2017,43,168,196,5,4,68,567,37
2017,44,179,165,8,6,79,573,54
2017,45,161,187,8,5,99,619,34
2017,46,193,201,12,4,103,626,52
2017,47,179,171,6,2,86,590,37
2017,48,148,176,11,1,76,697,58
2017,49,173,174,4,1,76,616,54
2017,50,155,165,3,2,61,609,40
2017,51,161,203,5,2,95,661,50
2017,52,202,156,8,3,67,621,46
2018,1,180,159,11,1,67,625,61
2018,2,128,166,36,0,74,599,48
2018,3,153,196,34,2,70,639,38
2018,4,172,195,51,1,71,569,58
2018,5,127,178,45,0,74,616,60
2018,6,142,160,31,1,68,539,45
2018,7,125,171,31,0,87,564,49
2018,8,143,153,29,1,78,543,45
2018,9,190,160,65,3,57,629,49
2018,10,167,172,54,2,65,579,48
2018,11,165,148,40,0,57,562,50
2018,12,173,162,42,2,53,569,48
2018,13,191,192,47,2,73,524,39
2018,14,150,194,50,3,63,585,51
2018,15,196,168,47,2,82,595,42
2018,16,159,195,49,1,103,658,48
2018,17,185,229,48,4,75,667,35
2018,18,178,207,39,2,85,676,54
2018,19,188,174,57,4,99,681,47
2018,20,190,193,56,2,88,674,43
2018,21,210,227,36,1,73,627,54
2018,22,203,226,61,3,82,688,59
2018,23,228,225,50,2,87,674,56
2018,24,189,204,50,0,78,659,48
2018,25,199,163,55,1,84,720,51
2018,26,173,197,66,3,69,606,55
2018,27,206,191,72,1,75,636,61
2018,28,197,190,63,2,111,749,73
2018,29,186,191,61,2,119,674,50
2018,30,180,145,69,1,91,715,45
2018,31,196,154,59,2,90,728,80
2018,32,186,160,65,3,99,671,65
2018,33,200,200,66,6,83,689,50
2018,34,179,155,61,0,113,695,44
2018,35,185,203,57,3,109,692,47
2018,36,195,158,61,2,121,666,49
2018,37,177,183,66,0,103,697,47
2018,38,188,169,55,2,86,712,49
2018,39,204,167,54,1,115,792,47
2018,40,217,157,61,1,135,794,81
2018,41,194,150,59,2,88,684,46
2018,42,174,147,46,1,77,642,39
2018,43,171,153,45,2,99,712,36
2018,44,170,147,39,2,104,694,59
2018,45,138,178,59,0,96,698,53
2018,46,151,169,52,1,114,748,33
2018,47,182,181,49,1,94,763,53
2018,48,150,172,47,1,85,728,60
2018,49,172,160,35,2,112,732,53
2018,50,196,140,49,0,88,799,64
2018,51,190,169,54,1,94,772,62
2018,52,212,191,59,0,121,784,48
2019,1,176,157,57,3,134,735,65
2019,2,159,128,71,0,74,709,61
2019,3,155,151,47,0,69,739,63
2019,4,170,116,66,0,93,670,41
2019,5,175,173,53,1,123,721,54
2019,6,174,138,54,1,125,652,40
2019,7,181,156,53,2,100,706,45
2019,8,193,180,50,2,90,646,50
2019,9,176,178,78,3,71,673,59
2019,10,172,156,65,1,98,685,46
2019,11,178,150,56,3,105,709,47
2019,12,205,170,52,2,112,718,38
2019,13,167,168,41,0,86,675,58
2019,14,188,210,48,0,104,651,47
2019,15,182,164,45,1,102,679,54
2019,16,189,203,51,0,103,680,42
2019,17,197,188,38,1,96,674,50
2019,18,211,170,60,3,124,679,57
2019,19,217,154,58,1,89,662,66
2019,20,181,164,58,3,89,725,52
2019,21,236,190,70,4,127,734,51
2019,22,212,182,47,5,96,727,55
2019,23,255,186,58,0,119,693,41
2019,24,211,181,78,1,107,681,42
2019,25,243,154,87,4,115,797,56
2019,26,241,179,69,4,120,808,54
2019,27,248,188,63,0,125,737,54
2019,28,192,177,74,3,135,762,46
2019,29,218,157,107,1,106,809,49
2019,30,198,167,57,2,116,745,50
2019,31,289,151,57,1,96,741,62
2019,32,241,150,47,3,134,786,49
2019,33,223,169,51,0,145,775,43
2019,34,235,187,41,4,83,712,60
2019,35,214,178,29,1,107,717,51
2019,36,239,187,47,0,89,717,51
2019,37,212,153,53,3,98,708,61
2019,38,214,140,47,1,123,723,38
2019,39,251,185,63,4,131,810,55
2019,40,227,171,60,0,128,733,57
2019,41,173,139,43,1,96,735,50
2019,42,201,213,47,1,79,758,44
2019,43,175,170,27,0,112,643,48
2019,44,176,147,44,3,95,724,49
2019,45,194,170,45,4,96,733,48
2019,46,207,184,51,1,85,717,53
2019,47,203,174,53,1,102,771,38
2019,48,172,179,46,4,102,721,43
2019,49,180,194,48,1,93,757,54
2019,50,182,197,41,0,90,812,37
2019,51,187,221,44,2,114,785,48
2019,52,225,215,58,3,134,859,43
2020,1,233,234,46,1,123,725,51
2020,2,157,169,59,5,91,745,41
2020,3,168,196,60,2,89,714,48
2020,4,153,190,63,1,101,742,59
2020,5,208,221,81,1,97,743,58
2020,6,174,148,65,0,93,716,54
2020,7,165,173,70,1,96,714,45
2020,8,188,175,84,1,84,723,34
2020,9,169,163,82,1,58,664,58
2020,10,180,173,81,2,94,659,72
