year,Week,ASST_T,BURG_T,DRUG_T,HOMD_T,ROBB_T,THEF_T,WCCR_T
2014,23,67,73,4,0,47,183,17
2014,24,54,87,1,0,35,233,12
2014,25,72,74,4,0,48,233,9
2014,26,68,79,3,0,28,179,29
2014,27,57,71,4,0,53,201,16
2014,28,45,67,1,1,43,186,9
2014,29,57,63,2,0,37,213,15
2014,30,60,74,5,4,35,179,11
2014,31,40,50,3,0,43,189,19
2014,32,54,57,1,0,31,194,14
2014,33,37,56,3,0,21,211,19
2014,34,41,72,4,0,23,191,15
2014,35,42,80,2,2,26,191,13
2014,36,63,57,3,1,34,184,10
2014,37,33,52,5,0,31,179,19
2014,38,37,58,4,0,29,230,15
2014,39,70,58,1,2,37,197,11
2014,40,54,54,0,0,39,163,12
2014,41,55,61,4,0,35,195,10
2014,42,49,59,3,2,35,218,16
2014,43,52,69,2,0,49,208,18
2014,44,52,85,4,3,25,166,11
2014,45,53,99,3,1,40,195,17
2014,46,36,60,2,0,33,183,9
2014,47,49,92,3,1,37,205,12
2014,48,48,73,1,2,46,232,11
2014,49,39,64,3,0,27,190,13
2014,50,54,72,3,0,33,219,17
2014,51,40,82,2,2,35,219,16
2014,52,43,66,2,1,50,196,10
2015,1,47,68,0,0,29,191,14
2015,2,32,63,0,0,27,208,10
2015,3,48,56,7,0,35,187,11
2015,4,36,77,2,0,39,216,8
2015,5,38,55,1,0,29,170,10
2015,6,45,54,1,0,30,168,8
2015,7,34,61,4,1,20,161,11
2015,8,27,68,3,0,29,165,9
2015,9,27,46,3,0,15,183,22
2015,10,30,73,3,0,25,204,15
2015,11,38,60,2,0,28,171,11
2015,12,47,76,0,0,27,173,25
2015,13,46,59,2,0,20,168,9
2015,14,59,52,5,0,30,188,10
2015,15,49,47,4,0,35,143,15
2015,16,44,43,2,0,24,145,17
2015,17,45,72,1,0,26,156,22
2015,18,49,59,1,0,30,169,9
2015,19,39,57,1,0,39,165,13
2015,20,31,61,1,1,32,152,11
2015,21,41,60,5,0,28,153,12
2015,22,42,66,4,2,36,124,10
2015,23,52,66,6,2,34,153,21
2015,24,45,69,3,1,41,191,13
2015,25,43,78,1,1,38,192,16
2015,26,43,63,4,0,33,169,14
2015,27,48,65,3,1,28,142,14
2015,28,60,68,3,3,26,178,13
2015,29,43,63,4,3,32,162,14
2015,30,52,55,0,1,28,141,16
2015,31,53,61,4,0,36,160,12
2015,32,61,65,2,0,31,164,18
2015,33,52,56,4,1,42,145,10
2015,34,50,66,1,1,36,167,13
2015,35,49,79,1,0,23,138,14
2015,36,59,67,3,1,18,131,11
2015,37,47,71,4,0,20,123,16
2015,38,48,59,3,0,27,110,11
2015,39,46,59,5,0,22,120,10
2015,40,57,61,1,0,29,140,8
2015,41,36,62,2,1,27,151,11
2015,42,58,78,3,0,28,151,14
2015,43,49,77,4,0,18,162,11
2015,44,60,66,4,2,37,147,11
2015,45,48,81,1,0,25,151,8
2015,46,41,77,2,0,35,132,12
2015,47,41,76,1,0,37,159,15
2015,48,38,63,4,1,36,154,13
2015,49,40,87,1,1,32,155,19
2015,50,43,88,0,0,51,157,14
2015,51,31,77,2,0,42,174,16
2015,52,62,54,0,0,38,193,12
2016,1,38,54,6,0,36,165,14
2016,2,49,62,3,3,47,167,12
2016,3,42,70,2,0,30,153,13
2016,4,35,74,3,2,26,163,13
2016,5,48,57,1,0,35,164,20
2016,6,41,49,1,0,25,150,7
2016,7,40,48,5,1,17,131,6
2016,8,26,51,9,0,17,135,13
2016,9,48,63,9,2,27,145,15
2016,10,41,51,3,0,24,123,6
2016,11,49,52,0,2,29,146,15
2016,12,49,49,5,3,24,125,6
2016,13,52,54,6,0,27,143,7
2016,14,54,44,5,0,33,164,14
2016,15,51,66,1,1,40,172,15
2016,16,37,72,3,1,42,150,15
2016,17,57,61,2,1,43,154,9
2016,18,55,71,7,0,23,161,15
2016,19,41,51,10,2,24,154,15
2016,20,48,56,6,0,30,168,9
2016,21,54,53,3,0,33,165,18
2016,22,49,64,5,1,25,176,10
2016,23,43,46,5,0,35,168,13
2016,24,49,58,8,3,23,175,7
2016,25,46,49,1,2,34,185,21
2016,26,59,56,3,3,36,174,9
2016,27,39,46,4,0,24,150,8
2016,28,48,56,8,1,32,157,7
2016,29,46,55,1,2,35,173,8
2016,30,38,52,2,1,43,164,9
2016,31,59,42,6,2,41,161,16
2016,32,48,43,9,1,43,184,13
2016,33,44,60,2,0,43,163,10
2016,34,39,66,5,0,35,178,8
2016,35,54,63,2,0,32,160,10
2016,36,50,59,3,0,32,164,12
2016,37,48,59,3,1,27,143,11
2016,38,43,62,0,0,32,168,17
2016,39,45,60,1,0,29,170,14
2016,40,60,59,2,0,20,169,14
2016,41,46,44,4,0,34,158,9
2016,42,50,58,1,2,28,192,11
2016,43,54,63,5,1,40,169,16
2016,44,65,42,2,0,45,168,12
2016,45,52,78,4,1,45,182,11
2016,46,46,74,0,0,31,160,12
2016,47,41,64,6,0,36,179,14
2016,48,58,74,1,2,44,215,14
2016,49,39,53,1,0,31,179,14
2016,50,31,52,3,0,33,170,21
2016,51,41,73,5,0,23,163,10
2016,52,77,103,3,0,37,243,11
2017,1,77,71,4,4,53,232,34
2017,2,72,66,10,0,40,235,13
2017,3,77,82,4,1,36,247,20
2017,4,91,64,6,2,33,207,13
2017,5,93,81,4,2,71,232,21
