year,month,ASST_T,BURG_T,DRUG_T,HOMD_T,ROBB_T,THEF_T,WCCR_T,ASST_NT,BURG_NT,DRUG_NT,HOMD_NT,ROBB_NT,THEF_NT,WCCR_NT,id
2014,6,271,328,12,0,179,875,72,388,687,21,1,200,1977,179,2014.41633333333
2014,7,240,302,13,5,181,851,57,463,747,16,1,213,2113,210,2014.49966666667
2014,8,182,275,12,1,124,859,72,406,733,20,7,158,1943,184,2014.583
2014,9,222,249,14,4,141,858,59,417,669,15,5,167,1875,182,2014.66633333333
2014,10,227,274,13,3,167,846,58,423,777,30,2,186,2137,187,2014.74966666667
2014,11,211,358,8,5,163,843,54,325,696,21,4,183,1897,174,2014.833
2014,12,186,304,11,4,154,900,60,328,726,13,7,253,2147,155,2014.91633333333
2015,1,179,293,10,0,142,891,47,335,671,13,8,245,1985,165,2014.99966666667
2015,2,140,226,9,1,105,648,42,290,381,17,2,150,1569,115,2015.083
2015,3,171,289,7,0,105,808,73,404,520,28,4,172,1827,134,2015.16633333333
2015,4,205,227,14,0,118,665,68,414,545,27,5,199,1964,169,2015.24966666667
2015,5,179,268,12,3,147,700,47,452,697,23,7,235,2025,178,2015.333
2015,6,198,297,14,4,156,732,63,471,626,19,7,260,2007,166,2015.41633333333
2015,7,223,278,11,8,132,694,68,443,731,24,2,214,2149,152,2015.49966666667
2015,8,242,287,11,2,150,689,58,462,687,25,2,234,2050,176,2015.583
2015,9,208,278,15,1,93,519,52,445,725,20,4,186,1934,171,2015.66633333333
2015,10,225,308,11,2,113,680,47,448,705,14,14,209,2202,173,2015.74966666667
2015,11,193,316,10,2,147,622,53,385,679,22,2,229,2036,170,2015.833
2015,12,186,323,4,1,175,724,64,376,769,20,3,248,2124,180,2015.91633333333
2016,1,191,285,15,5,156,704,58,375,636,27,5,294,2089,204,2015.99966666667
2016,2,154,214,21,1,98,605,48,395,612,36,4,215,1742,161,2016.083
2016,3,213,235,17,7,110,601,41,413,627,40,11,165,1876,167,2016.16633333333
2016,4,211,260,12,3,162,688,58,436,649,30,4,246,1944,152,2016.24966666667
2016,5,224,264,28,3,123,720,59,496,732,32,10,273,2046,161,2016.333
2016,6,208,223,19,8,136,758,53,498,686,28,5,208,2135,142,2016.41633333333
2016,7,190,229,16,4,142,726,36,513,616,33,8,233,2053,140,2016.49966666667
2016,8,221,243,23,3,184,741,53,451,644,38,9,267,2066,124,2016.583
2016,9,196,260,7,1,123,691,58,474,653,36,14,268,2030,137,2016.66633333333
2016,10,242,237,13,3,151,752,55,517,677,35,12,264,2073,133,2016.74966666667
2016,11,217,297,12,3,162,788,51,414,681,34,3,218,2016,124,2016.833
2016,12,195,294,12,0,133,784,59,399,757,28,9,266,2106,134,2016.91633333333
2017,1,355,313,27,9,199,1018,88,441,611,22,1,204,1732,114,2016.99966666667
2017,2,362,302,22,3,174,871,77,398,496,17,4,164,1463,132,2017.083
2017,3,319,265,33,3,162,858,95,437,502,31,9,138,1581,116,2017.16633333333
2017,4,381,312,20,1,145,912,72,501,528,21,7,155,1582,120,2017.24966666667
2017,5,392,285,21,6,145,955,90,515,556,24,5,192,1758,135,2017.333
2017,6,393,275,9,7,156,996,77,486,564,17,2,191,1659,135,2017.41633333333
2017,7,350,322,10,3,160,1013,72,533,563,15,8,200,1749,106,2017.49966666667
2017,8,430,337,14,4,215,1053,96,501,583,23,6,199,1838,122,2017.583
2017,9,361,278,9,5,197,963,75,443,500,13,6,171,1735,123,2017.66633333333
2017,10,348,310,12,9,196,909,74,461,570,12,3,198,1718,121,2017.74966666667
2017,11,337,279,13,9,190,900,72,401,510,29,7,207,1750,122,2017.833
2017,12,304,262,7,6,163,907,91,427,489,15,2,148,1817,120,2017.91633333333
2018,1,287,287,52,1,146,888,76,397,512,98,3,174,1792,150,2017.99966666667
2018,2,218,204,61,0,138,708,66,340,438,85,3,149,1558,128,2018.083
2018,3,332,252,78,2,129,754,72,456,499,135,6,146,1779,135,2018.16633333333
2018,4,305,289,79,7,147,820,66,442,532,126,3,196,1847,130,2018.24966666667
2018,5,363,313,105,5,189,825,89,484,592,115,7,192,2121,118,2018.333
2018,6,347,277,103,4,171,805,87,505,595,133,1,172,2081,156,2018.41633333333
2018,7,362,274,123,5,220,905,95,491,505,170,2,217,2137,150,2018.49966666667
2018,8,327,257,120,6,222,922,92,498,520,146,5,209,2135,169,2018.583
2018,9,339,264,98,4,210,909,90,490,470,162,4,250,2197,119,2018.66633333333
2018,10,349,247,73,2,198,921,86,478,410,151,4,247,2235,134,2018.74966666667
2018,11,276,252,95,3,155,860,86,394,489,119,2,277,2202,130,2018.833
2018,12,323,260,87,1,159,888,92,497,456,129,2,271,2444,159,2018.91633333333
2019,1,304,210,111,4,196,1076,82,421,412,160,0,239,2092,173,2018.99966666667
2019,2,266,236,89,3,181,916,66,463,426,131,5,211,1785,124,2019.083
2019,3,339,277,103,4,197,1073,66,474,441,146,2,245,2015,146,2019.16633333333
2019,4,329,278,88,0,168,953,73,478,536,108,2,262,1916,138,2019.24966666667
2019,5,345,227,98,5,219,1055,80,574,510,149,8,243,2038,159,2019.333
2019,6,386,272,138,5,195,1064,86,614,504,181,5,282,2131,137,2019.41633333333
2019,7,396,253,157,4,238,1135,88,570,502,159,4,299,2265,130,2019.49966666667
2019,8,411,239,89,3,207,1113,87,659,503,125,5,297,2177,148,2019.583
2019,9,419,252,86,5,253,1093,83,570,457,128,4,227,2073,137,2019.66633333333
2019,10,304,257,73,1,222,1111,84,533,503,117,2,236,2065,135,2019.74966666667
2019,11,317,265,105,1,160,1192,82,513,469,104,9,243,1955,116,2019.833
2019,12,318,299,82,4,198,1175,79,517,581,126,4,267,2250,116,2019.91633333333
2020,1,271,324,108,2,218,1133,88,508,567,148,8,224,2132,144,2019.99966666667
2020,2,275,231,168,0,145,1014,59,469,465,150,2,223,1935,128,2020.083
2020,3,343,281,133,5,140,979,85,485,456,228,0,174,1782,130,2020.16633333333
2020,4,354,207,152,4,94,964,55,495,392,260,3,145,1775,99,2020.24966666667
2020,5,390,219,163,1,117,1028,59,609,403,185,4,127,1933,111,2020.333
2020,6,445,247,68,2,109,1136,58,618,407,84,11,187,2017,94,2020.41633333333
2020,7,464,239,136,3,134,1157,55,658,408,199,9,197,2077,121,2020.49966666667
2020,8,419,233,253,8,122,1080,56,637,420,432,2,158,2212,116,2020.583
2020,9,419,276,215,4,121,1117,54,589,357,459,6,165,2211,102,2020.66633333333
2020,10,417,273,274,6,134,1133,56,605,437,399,8,211,2367,101,2020.74966666667
2020,11,428,273,253,7,176,1177,63,533,427,389,8,164,2050,108,2020.833
2020,12,346,247,217,5,190,1159,58,541,450,371,5,211,2276,111,2020.91633333333
