year,Week,ASST_T,BURG_T,DRUG_T,HOMD_T,ROBB_T,THEF_T,WCCR_T,ASST_NT,BURG_NT,DRUG_NT,HOMD_NT,ROBB_NT,THEF_NT,WCCR_NT,id
2014,23,67,73,4,0,47,183,17,93,150,6,0,49,447,32,2014.41623076923
2014,24,54,87,1,0,35,233,12,94,166,3,0,40,451,42,2014.43546153846
2014,25,72,74,4,0,48,233,9,107,152,6,0,46,475,44,2014.45469230769
2014,26,68,79,3,0,28,179,29,85,201,5,0,56,479,45,2014.47392307692
2014,27,57,71,4,0,53,201,16,127,166,3,0,47,419,59,2014.49315384615
2014,28,45,67,1,1,43,186,9,118,159,0,0,43,491,43,2014.51238461538
2014,29,57,63,2,0,37,213,15,96,163,8,1,52,521,43,2014.53161538462
2014,30,60,74,5,4,35,179,11,91,169,4,0,55,482,42,2014.55084615385
2014,31,40,50,3,0,43,189,19,83,186,8,4,36,494,52,2014.57007692308
2014,32,54,57,1,0,31,194,14,84,133,5,1,32,446,33,2014.58930769231
2014,33,37,56,3,0,21,211,19,107,169,2,1,41,399,45,2014.60853846154
2014,34,41,72,4,0,23,191,15,96,178,3,1,35,462,32,2014.62776923077
2014,35,42,80,2,2,26,191,13,87,170,6,1,40,399,42,2014.647
2014,36,63,57,3,1,34,184,10,112,154,2,0,42,447,35,2014.66623076923
2014,37,33,52,5,0,31,179,19,81,150,1,1,40,437,40,2014.68546153846
2014,38,37,58,4,0,29,230,15,102,155,6,1,31,406,55,2014.70469230769
2014,39,70,58,1,2,37,197,11,89,162,3,2,37,470,44,2014.72392307692
2014,40,54,54,0,0,39,163,12,98,172,7,0,47,517,43,2014.74315384615
2014,41,55,61,4,0,35,195,10,86,187,5,1,34,471,43,2014.76238461538
2014,42,49,59,3,2,35,218,16,114,165,6,0,51,475,49,2014.78161538462
2014,43,52,69,2,0,49,208,18,93,162,10,1,45,483,33,2014.80084615385
2014,44,52,85,4,3,25,166,11,80,183,2,0,30,446,43,2014.82007692308
2014,45,53,99,3,1,40,195,17,82,142,8,1,48,453,43,2014.83930769231
2014,46,36,60,2,0,33,183,9,57,160,6,0,41,448,40,2014.85853846154
2014,47,49,92,3,1,37,205,12,84,174,2,1,44,434,44,2014.87776923077
2014,48,48,73,1,2,46,232,11,83,177,5,2,37,428,34,2014.897
2014,49,39,64,3,0,27,190,13,78,172,2,2,45,497,42,2014.91623076923
2014,50,54,72,3,0,33,219,17,65,185,4,5,69,485,32,2014.93546153846
2014,51,40,82,2,2,35,219,16,68,156,3,0,58,524,42,2014.95469230769
2014,52,43,66,2,1,50,196,10,88,164,4,0,73,520,28,2014.97392307692
2015,1,47,68,0,0,29,191,14,77,138,2,6,65,443,52,2014.99315384615
2015,2,32,63,0,0,27,208,10,72,129,3,1,51,419,25,2015.01238461538
2015,3,48,56,7,0,35,187,11,80,151,4,1,63,460,36,2015.03161538462
2015,4,36,77,2,0,39,216,8,75,188,3,0,48,469,31,2015.05084615385
2015,5,38,55,1,0,29,170,10,69,116,6,0,39,435,42,2015.07007692308
2015,6,45,54,1,0,30,168,8,87,115,5,1,39,430,42,2015.08930769231
